User,URL,Timestamp,Comment
@user-rf9nb9mz2r,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=Ugw4LT-IA8davVXjbUV4AaABAg,4 дня назад,Йттің баласыс қолын сндырыу керек еді қыз балаға қол көтерген көргенсіз
@LIFEHACKS.7.,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=UgwO5a2ImTQM_n81t594AaABAg,4 дня назад,Осы мектептің улдары кайда мынанын мурнын бет қылу керекқо.
@dinamukhanaliyeva9096,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=Ugx9QF7Q7qNElMjxOFh4AaABAg,4 дня назад,"Офигеть. Почему административн ответственеость? Это же уголовка. Растут"" бишимбайчики""."
@MmmemDuj-el3xn,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=Ugy3_4b7iZp924_3xTx4AaABAg,4 дня назад,Есірген ессіз топасты жазаға тарту керек !
@user-us2ge7rl8f,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=UgxBwi2J854XrflJWFt4AaABAg,4 дня назад,Жұмыстан шығарсын әкесін
@user-bm8tp3ds7w,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=UgxjELuS7VkXAI8ShMp4AaABAg,4 дня назад,"Аяма , шенеунік баласы болса қайтеді, баласына жауап берсін"
@user-cu5vv7kd3h,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=UgzySEFe_dG2CbzpMjx4AaABAg,4 дня назад,Мұрын сындыру денеге жеңіл жарақат салу екеніне білмепін
@user-hd2rr8eg9y,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=UgzisCG4xzpk8DwEDhl4AaABAg,4 дня назад,"Жазалансын бұл бала, қылмыстық жаза қолданылсын."
@user-xi8mt6rm1r,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=Ugz4IO0DVG6XiUqQx3t4AaABAg,4 дня назад,МАЛЫЕ  БИШИМБАЕВЫ РАСТУТ ВИДЯТЬ  ЗАКОН  ДЛЯ  ПРАВИТЕЛЕЙ  НЕ  РАСПРАСТРАНЯЕТСЯ .
@user-hs3iz5qy5m,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=Ugx_7PAt12gzcZtxgVh4AaABAg,4 дня назад,Қылмыстық іс қозғап әке шешесін жұмыстан шеттету керек
@rysbayev,https://www.youtube.com/watch?v=OBjB4t9SMHo&lc=UgyEJDyKkDsa3X1kTAV4AaABAg,4 дня назад,"Сол ауылдың жігіттері, күшікті ұстап алып жасап жіберіңдер"
