comment,label
"Биликтеги кокелер ислам динин оз калпына келтирмесе, пайгамбардын динин таза нускасымен. Салафиттер мнау басыгой, вахабистер мен хизбут тахрир артыннан келеди",0
"18 жас емес, 21 жасқа шейін тыиым салу керек",0
дұрыс ролик. арабизацияға жол жоқ,0
БАУЫРЫМ  ОТЕ   ДУРЫС   АИТАСЫН  МЕШИТТЕГИ   АРАМТАМАК  ИМАМАДАР   ОЛАР  ЖАН  КИНАП  ЖУМЫС  ЖАСАМАИДЫ    АК  САЛДЕ  АК  ШАПАН   БЕТТЕРИ   ТАБАКТАИ   КАРЫНДАРЫ  КАБАКТАИ   ОЛАР  ЖАН  КИНАМАИ   САДАКС  ЯЩИКТИ  АНДЫП  ОТЫРАДЫ  АР  КЕЛГЕН  АДАМДАРДЫН  САДАКАСЫНА  ОМИР  СУРИП  ОТЫРГАН   ЖЕМКОРЛАР   АСТЫНДА  ЖИП   УСТИНДЕ   КОТТЕЖЖ   ОЛАР  ЖАС БАЛДАРДЫН  МИИН  ШИРИТЕДИ   15  18  25  30  ГЫ  ЖАС БАЛДАРДЫН   МИН  ШИРИТИП  ОИБААА      СЕН  КУНАХАРСЫН   СЕН 5  РЕТ  КОТ    ЖУУИ  5  РЕТ  НАМАЗГА  ЖЫГЫЛ  КУНАЛАРЫНА   КУШРИМ  СУРА  БОЛМАСА  ОООО  ДУНИЕГЕ  БАРГАНДА  ОТКА  ЖАНАСЫН  ДЕП   КАЯЛАРЫЕ   НЕ  ОЛАР  ОЛИП  7  КА.АТ  ЖЕР  АСЫНА  ТУСИП  КУДАИМЕН  СОИЛЕСИП  КЕЛДИМА  НЕГЕ  40  ОТИРИК  АИТАДЫ  ЖАСТАРГА    АЛ  МЕН  БОЛСАМ  АИТАР  ЕДИМ   УЛДАРЫМ  СИЗДЕР  АЛИ ЖАССЫНДАР  СИЗДЕР  ОКУ ОКЫНДАР  ШЕТ ЕЛГЕ  БАРЫП БИЛИМ  АЛЫП  КЕЛИНДЕР   60  ЖАСКА  ТОЛГАНДА  МЕШИТКЕ  КЕЛИП  КУЛШЫЛЫК   ЕТЕСИНДЕР     СИЗДЕР   ЕЛДИ  КОТЕРИН    ЗАВОД  ФАБРИКА  АШЫН  ДЕП  НЕГЕ  АИТПАИДЫ   ОЛАР  ТУПОИЛАР  ЖАСТАРДЫ  ООО  ДУНИЕМЕН  КОРКЫТЫП  ЖАСТАП  БЕТЕРИН  БИР  КОИДЫН  ЖУННИН  БАИЛАП  БАЛАКТАРНЫН  КЕСИП   ТАСТАП   ЖАС  КАТЫНДАР  КАРА  ЖАМЫЛЫП    МАСКАРААА  КЫЛ  ЖУР   СОЗИМ  ЖОК   МОЛДАРДЫ  ИМАМДАРДЫ  КОРСЕМ КУСКЫМ  КЕЛДИ   ХАРРАМ  ТАМАКТАР,0
Өтедурс.жақсайтты,0
Дінге қарсы келіп кәпір болып өліп кеткен адамға екі дүниеде жақсылық жоқ. Бір жауыз дінге қарсы сөйледі. Сол кезден бастап штрафтар қаптады. Кәпірлерге рахмет,0
Дінге қарсы келген адамға Құдай тағала хидаят берсін.   Егер  Құдай тағала хидаят бермесе  ешкім түзей алмайды. P. S.  Арақ темекіден насыпай пиуадан енді ажырап дінімізге енді бет бұрып келеміз.   Салауатты өмірге бетбұрып . Отбасымыз .тұрмысымыз түзеліп. Мына кісінің қайда бастап тұрғанын мен түсіне алмадым. Осындайларды  ютюб маған не үшін ұсынады екен? Құдайым сақтасын дінге қарсы шығушылардан.,0
Үзбей аяғына дейін көріп шықтым керемет қарапайым жеткізеді екен.,0
"Мыналардың бастары істей мә ? Молдалар  өтірік  айтпа, ұрлық  істеме, ата анаңды сыйла,  көршіңді ренжітпе   деген сөздері сендерге ұнамай тұр ма сонда. Әй нағыз  оңбаған  екенсіңдер.",0
Дұрс айтып жатамыз Жастарды дінге емес ғылымға тәрбиелеу керек Асыра діншіл болсақ Ауған Сиря болып кетуіміз мүмкін жастарды ғылымға тәрбиелеп Яапоня Кәрея сяақты өркендеуіміз  болуымыз керек,0
